Date,Season,Env,Event,Mark,Wind,Place,Round,Meet,Link
2026-07-18,2026 Outdoor,Outdoor,60m,7.43,,24,Prelim,Penn Relays Summer Showcase,
2026-07-18,2026 Outdoor,Outdoor,200m,23.95,,26,Final,Penn Relays Summer Showcase,
2026-06-27,2026 Outdoor,Outdoor,100m,11.69,+1.8,9,Final,Los Gatos Summer All-Comer Meet #2,
2026-06-27,2026 Outdoor,Outdoor,200m,23.75,+2.1,13,Final,Los Gatos Summer All-Comer Meet #2,
2026-06-14,2026 Outdoor,Outdoor,100m,11.69,-0.2,3,Prelim,2026 Dashing Whippets Summer Track Meet,
2026-06-14,2026 Outdoor,Outdoor,100m,11.97,-0.8,4,Final,2026 Dashing Whippets Summer Track Meet,
2026-06-14,2026 Outdoor,Outdoor,200m,24.16,+0.5,2,Final,2026 Dashing Whippets Summer Track Meet,
2026-04-26,2026 Outdoor,Outdoor,100m,11.97,+0.2,18,Final,Vassar April Twilight,
2026-04-26,2026 Outdoor,Outdoor,200m,24.98,+0.1,14,Final,Vassar April Twilight,
2026-04-18,2026 Outdoor,Outdoor,100m,11.93,+4.2,20,Prelim,Battle of Madison Ave T&F Meet #2,
2026-04-18,2026 Outdoor,Outdoor,200m,24.06,+3.0,18,Final,Battle of Madison Ave T&F Meet #2,
2026-04-04,2026 Indoor,Indoor,60m,7.58,,6,Final,Front Runners NY Annual Track Meet,
2026-04-04,2026 Indoor,Indoor,200m,24.64,,6,Final,Front Runners NY Annual Track Meet,
2026-04-04,2026 Indoor,Indoor,Shot Put,"28' 0""",,1,Final,Front Runners NY Annual Track Meet,
2025-06-28,2025 Outdoor,Outdoor,100m,11.79,-2.1,19,Prelim,Garden State Last Chance,
2025-05-24,2025 Outdoor,Outdoor,100m,11.60,+2.5,34,Prelim,The Garden State Spring Youth Classic,
2025-05-09,2025 Outdoor,Outdoor,100m,11.71,+0.4,18,Prelim,Ramapo Twilight,
2025-05-09,2025 Outdoor,Outdoor,200m,24.11,+1.5,18,Final,Ramapo Twilight,
2025-04-11,2025 Outdoor,Outdoor,100m,11.49,+1.7,5,Final,Queens College Knights 3rd Annual,
2025-03-30,2025 Indoor,Indoor,60m,7.37,,3,Final,Front Runners NY Annual Track Meet,
2025-03-30,2025 Indoor,Indoor,200m,23.72,,4,Final,Front Runners NY Annual Track Meet,
2025-03-30,2025 Indoor,Indoor,High Jump,"4' 9""",,1,Final,Front Runners NY Annual Track Meet,
2025-03-23,2025 Indoor,Indoor,200m,24.20,,Ex,Final,The Armory Club Championships,
2025-03-23,2025 Indoor,Indoor,400m,57.13,,Ex,Final,The Armory Club Championships,
2025-02-21,2025 Indoor,Indoor,60m,7.40,,13,Prelim,Garden State Open,
2025-02-21,2025 Indoor,Indoor,200m,24.32,,13,Final,Garden State Open,
2025-02-15,2025 Indoor,Indoor,60m,7.40,,10,Prelim,The CIRCUIT New York City,
2024-12-26,2025 Indoor,Indoor,60m,7.45,,37,Prelim,Armory Sprint Night,
2024-12-26,2025 Indoor,Indoor,400m,56.25,,19,Final,Armory Sprint Night,
2024-12-06,2025 Indoor,Indoor,60m,7.44,,27,Prelim,Rutgers Holiday Classic,
2024-12-06,2025 Indoor,Indoor,200m,24.45,,12,Final,Rutgers Holiday Classic,
2024-05-16,2024 Outdoor,Outdoor,100m,11.50,+1.3,38,Final,Redlands Final Qualifier,
2024-05-16,2024 Outdoor,Outdoor,200m,23.41,+2.1,36,Final,Redlands Final Qualifier,
2024-05-11,2024 Outdoor,Outdoor,200m,23.68,+1.9,58,Final,APU Franson Last Chance,
2024-05-11,2024 Outdoor,Outdoor,4x400 Relay,3:23.47,,8,,APU Franson Last Chance,
2024-05-10,2024 Outdoor,Outdoor,100m,11.54,+3.2,37,Prelim,APU Franson Last Chance,
2024-04-27,2024 Outdoor,Outdoor,100m,11.59,+1.5,44,Final,Steve Scott Invite,
2024-04-27,2024 Outdoor,Outdoor,200m,23.96,+1.2,42,Final,Steve Scott Invite,
2024-03-29,2024 Outdoor,Outdoor,100m,12.02,-3.6,49,Final,Mike Fanelli Track Classic,
